epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,4.311853302955628,0.145003359462486,4.177166469097138,0.14759550561797752
2,4.23456684577465,0.14953639417693168,4.1956871290206905,0.1495191011235955
3,4.210767360329628,0.15389473684210525,4.1627955441474915,0.15606292134831462
4,4.190197132945061,0.15567749160134378,4.1070338745117185,0.1556134831460674
5,4.163616876959801,0.1580246360582307,4.079478036403656,0.16068314606741574
6,4.128056880116462,0.1585666293393057,4.039659229755402,0.16068314606741574
7,4.092358955144882,0.1605464725643897,4.027912347316742,0.16532134831460674
8,4.10872881937027,0.16009406494960807,4.056198393821716,0.16400898876404493
9,4.090011448264122,0.16195744680851062,4.0038666052818295,0.1672808988764045
10,4.048823906421662,0.16557222844344904,4.002263265132904,0.16674157303370787
11,4.035705158114434,0.16522732362821949,3.950687126159668,0.17276404494382022
12,4.021754375696182,0.16719372900335946,3.9584906096458434,0.17348314606741572
13,3.9970472594499586,0.1688152295632699,3.9020227942466734,0.17393258426966293
14,3.987294011235237,0.17013213885778275,3.927449689388275,0.16578876404494383
