epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.3742026167841894,0.8966258584652135,0.3358708853057275,0.9135652173913044
2,0.22444099723454564,0.9356225739026575,0.152114016940662,0.9591304347826087
3,0.23792133057656298,0.9343087488802627,0.17194147765946885,0.9540869565217391
4,0.1302884463013283,0.9644072857569423,0.11024125703067209,0.9709565217391304
5,0.10771090319805912,0.9717826216781129,0.06935158031992614,0.9817391304347826
6,0.08825039166784181,0.9761719916392954,0.12106454777220885,0.9681739130434782
7,0.11981116995794167,0.9705882352941176,0.18484644677878048,0.9495652173913044
8,0.11655059532990812,0.9697820244849209,0.16341364142717793,0.9603478260869566
9,0.10612712446651754,0.9739922364885041,0.11672422766569071,0.9707826086956521
10,0.08570843392186465,0.9783816064496865,0.10840144515736029,0.9756521739130435
11,0.10469738122020915,0.9731860256793072,0.1374780692505495,0.965391304347826
12,0.09336199759720226,0.9755747984472977,0.03149486774656301,0.9942608695652174
13,0.07528904600658903,0.981248133771275,0.08464184749289416,0.9803478260869565
14,0.05364983950111699,0.9873693639892506,0.07778334219745982,0.9813913043478261
15,0.06220349285661359,0.9844132576888623,0.058815570857841525,0.987304347826087
16,0.0578138353641885,0.985488205434458,0.0473022861246136,0.9916521739130435
17,0.057533025348646336,0.9859659599880561,0.014269354100712613,0.9965217391304347
18,0.05957829880271415,0.9862048372648552,0.031213615091886217,0.9911304347826086
19,0.056991113211828634,0.9863839952224545,0.13861627442073465,0.9676521739130435
